metabolite,source_cell,sink_cell,exchange_axis,mean_Male,mean_Female,log2fc_M_vs_F,p_value,significant
dtmp,Fib,C_TAL,Fib→C_TAL,0.2565296265926555,0.0,17.968771550544684,0.47048642205878966,False
aspasnglu,C_TAL,PEC,C_TAL→PEC,1.0212738692699717,0.0,19.961939779480307,0.47048642205878966,False
dttp,C_TAL,Fib,C_TAL→Fib,7.060096472064539,0.0,22.751256670879187,0.47048642205878966,False
tyrala,C_TAL,CD4T,C_TAL→CD4T,4.573160238866825,0.0,22.124760355386332,0.47048642205878966,False
hisglnala,C_TAL,IC,C_TAL→IC,0.02355316939984677,0.0,14.523694838116528,0.47048642205878966,False
ncam,iPT,PT_S3,iPT→PT_S3,16.4462605891544,0.0,23.971256345452996,0.47048642205878966,False
tyrglu,PC,GS_Stromal,PC→GS_Stromal,0.3062262974622378,0.0,18.2242433665432,0.47048642205878966,False
val_L,Mono,GS_Stromal,Mono→GS_Stromal,3.293070719717751,0.0,21.65100250201492,0.47048642205878966,False
ptrc,C_TAL,iPT,C_TAL→iPT,242.99634213613035,0.0,27.85635936190499,0.47048642205878966,False
aspglupro,DCT,C_TAL,DCT→C_TAL,6.041159857690175,0.0,22.5263943709793,0.47048642205878966,False
34hpp,Mono,Fib,Mono→Fib,0.3295037569118938,0.0,18.32993976735955,0.47048642205878966,False
duri,VSMC/Pericyte,Dedifferentiated_Tubule,VSMC/Pericyte→Dedifferentiated_Tubule,0.028654252525999103,0.0,14.806511989689097,0.47048642205878966,False
3mob,Mono,Mac,Mono→Mac,51.252784405627274,0.0,25.611127076277192,0.47048642205878966,False
asplysglu,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.11004144626015089,0.0,16.74770059088806,0.47048642205878966,False
cholp,Mono,C_TAL,Mono→C_TAL,0.41183192742331143,0.0,18.65169965732395,0.47048642205878966,False
s2l2n2m2masn,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,0.0005137212746659433,0.0,9.007647603600967,0.47048642205878966,False
ala_B,C_TAL,PT_S3,C_TAL→PT_S3,12.097657535788478,0.0,23.528224509588448,0.47048642205878966,False
glumethis,C_TAL,PT_S3,C_TAL→PT_S3,0.8833368814343383,0.0,19.752605856398713,0.47048642205878966,False
udp,PC,C_TAL,PC→C_TAL,4766.745584014881,819.4347922944038,2.540303570432782,0.47572895889174516,False
cmp,MyoFib,Fib,MyoFib→Fib,1638.2349416441818,751.1381303589059,1.1249921284666742,0.47572895889174516,False
creat,iPT,PT_S3,iPT→PT_S3,22.349910656234513,131.08012042945356,-2.5521078805618607,0.47572895889174516,False
glucyala,PEC,IC,PEC→IC,2786.910382358723,2057.5844678757417,0.4377149534739049,0.4908424908424909,False
acac,Podo,Endo_G,Podo→Endo_G,128.68750131199002,100.75526292265397,0.35301673696928554,0.4908424908424909,False
adn,PC,C_TAL,PC→C_TAL,105.61782313988618,173.75494645715403,-0.7182007318829023,0.4908424908424909,False
ura,C_TAL,PC,C_TAL→PC,2714.159272643882,518.726853510965,2.3874584190585653,0.4908424908424909,False
uri,C_TAL,PC,C_TAL→PC,625.991524456552,299.3933276834555,1.064101051889727,0.4908424908424909,False
gmp,MyoFib,PT_S3,MyoFib→PT_S3,973.3481645423817,602.3520009692928,0.6923491333485241,0.513943442885429,False
