metabolite,source_cell,sink_cell,exchange_axis,predictor,beta,p_value,significant,r_squared
inost,C_TAL,PT_S3,C_TAL→PT_S3,fibrosis,-0.0237842361230107,0.11828742316974702,False,0.3681317703018817
inost,C_TAL,PT_S3,C_TAL→PT_S3,age,-0.0356144724414977,0.1764555809240435,False,0.3681317703018817
inost,C_TAL,PT_S3,C_TAL→PT_S3,sex_num,-0.095511190868945,0.8611493643852305,False,0.3681317703018817
inost,C_TAL,PT_S3,C_TAL→PT_S3,is_DKD,0.6563631067037384,0.4629481553143894,False,0.3681317703018817
inost,C_TAL,PT_S3,C_TAL→PT_S3,is_HKD,0.294225279977404,0.7113170970520226,False,0.3681317703018817
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,eGFR,0.058473305568097114,0.8836034423044402,False,0.6067849363835325
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,fibrosis,0.3399485889423078,0.18928949412741025,False,0.6067849363835325
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,age,-0.43624611960600124,0.3276169424569555,False,0.6067849363835325
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,sex_num,4.52937684932641,0.6379372075548861,False,0.6067849363835325
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,is_DKD,-3.2457315574702594,0.8326033903123394,False,0.6067849363835325
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,is_HKD,-6.158402195336998,0.6587138583765793,False,0.6067849363835325
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,eGFR,-0.00014735382377219157,0.563624565052798,False,0.5909481504482255
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,fibrosis,0.0003311085900712344,0.05981574932990447,False,0.5909481504482255
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,age,0.0002812847342439164,0.3181496063020304,False,0.5909481504482255
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,sex_num,0.009439331656267168,0.14857158844985063,False,0.5909481504482255
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,is_DKD,-0.01601991793582864,0.13003414381440942,False,0.5909481504482255
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,is_HKD,-0.01859244567938481,0.06327278255878625,False,0.5909481504482255
lac_L,Podo,Endo_G,Podo→Endo_G,eGFR,35.770517584297004,0.6678831434437347,False,0.5647435964483136
lac_L,Podo,Endo_G,Podo→Endo_G,fibrosis,-109.76859681881882,0.05807547042458522,False,0.5647435964483136
lac_L,Podo,Endo_G,Podo→Endo_G,age,-150.50824795311848,0.12358147735652762,False,0.5647435964483136
lac_L,Podo,Endo_G,Podo→Endo_G,sex_num,-1791.0426605808848,0.3797925152336169,False,0.5647435964483136
lac_L,Podo,Endo_G,Podo→Endo_G,is_DKD,1296.2016189693106,0.6854466789298512,False,0.5647435964483136
lac_L,Podo,Endo_G,Podo→Endo_G,is_HKD,3143.449729878579,0.2939327722924092,False,0.5647435964483136
glucyala,PEC,IC,PEC→IC,eGFR,16.978835892765687,0.4377273522218791,False,0.6923565125598764
